raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
265.370463,30.302454,6381611905537016964,,,21.5032,0.2831,TOI-6086,265.370975252897,30.303766363922800,31.7665,-110.609,2.127,0.0,0.0013848810372823700
265.760019,-65.008328,6385622864897248043,,,16.1561,0.0168,TOI-3321,265.76033549693,-65.00824371696,3.4852,-0.048,-1.832,12.24,1.58061926058058E-04
267.284932,29.879135,6385482175729373146,,,20.5576,0.1795,WASP-135,267.28497457097,29.879094948500000,3.3297,-18.11,-12.115,-29.85,5.44669219947782E-05
267.640569,36.570366,6378550782485074378,21.4286,0.3166,15.3854,0.0124,KELT-12,267.64048977705,36.57022362164,2.7199,0.154,-11.054,-23.03,1.55948297614863E-04
268.029219,37.546208,6382034051427995947,,,18.0542,0.0435,TrES-3,268.02924344157000,37.5461770494,4.3106,-24.462,34.772,0.0,3.65168111931024E-05
268.304405,37.211922,6385552496153069609,21.8292,0.3248,16.3298,0.0176,TrES-4,268.30437065115000,37.21182958148,1.9686,-6.382,-20.891,-16.51,9.63821077025297E-05
271.935248,39.073761,6385552496153069609,,,17.7976,0.0363,TOI-2134,271.93519902873,39.07414550788000,44.1087,54.536,-283.051,-20.96,3.86382814329762E-04
271.935248,39.073761,6377108226450653865,,,17.7976,0.0363,TOI-2134,271.93519902873,39.07414550788000,44.1087,54.536,-283.051,-20.96,3.86382814329762E-04
273.728079,-54.433995,6377987864746004503,,,17.9771,0.0406,TOI-7510,273.72804212404,-54.4340820015,4.0353,19.7,6.32,13.2,8.96063630400283E-05
273.728079,-54.433995,6385868978336563233,,,17.9771,0.0406,TOI-7510,273.72804212404,-54.4340820015,4.0353,19.7,6.32,13.2,8.96063630400283E-05
273.728079,-54.433995,6385868978401575503,,,17.9771,0.0406,TOI-7510,273.72804212404,-54.4340820015,4.0353,19.7,6.32,13.2,8.96063630400283E-05
274.405397,36.621523,6385868978435129828,,,17.3857,0.0281,HAT-P-5,274.40546955165,36.62143622263,3.2184,11.925,5.904,7.58,1.04503530957481E-04
